Accuracy,Recall,Precision,Fscore,AUC,dataset
0.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv
0.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv
0.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_small_noise.csv
0.0,0.0,0.0,0.0,,artificialNoAnomaly/art_noisy.csv
0.9099173553719008,0.4577114427860697,1.0,0.6279863481228669,0.6448789254914723,artificialWithAnomaly/art_daily_flatmiddle.csv
0.1661157024793388,1.0,0.1661157024793388,0.2849043231750531,0.5039384346848513,artificialWithAnomaly/art_daily_jumpsdown.csv
0.5293388429752066,0.6691542288557214,0.2109803921568627,0.3208109719737627,0.4801315523472824,artificialWithAnomaly/art_daily_jumpsup.csv
0.8954545454545455,0.4104477611940298,0.9116022099447514,0.5660377358490566,0.7114132015837562,artificialWithAnomaly/art_daily_nojump.csv
0.9136363636363636,0.4800995024875621,1.0,0.6487394957983192,0.7400497512437811,artificialWithAnomaly/art_increase_spike_density.csv
0.1661157024793388,1.0,0.1661157024793388,0.2849043231750531,0.4905847373637265,artificialWithAnomaly/art_load_balancer_spikes.csv
0.815702479338843,0.4225,0.4401041666666667,0.4311224489795918,0.6340464108910892,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv
0.0826446280991735,1.0,0.0826446280991735,0.1526717557251908,0.5186204954954955,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv
0.9706611570247934,0.645,1.0,0.78419452887538,0.8431463963963964,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv
0.1661157024793388,1.0,0.1661157024793388,0.2849043231750531,0.408820614469772,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv
0.1057851239669421,1.0,0.1057851239669421,0.1913303437967115,0.5240891433687616,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv
0.8305785123966942,0.3557213930348258,0.4863945578231292,0.4109195402298851,0.6244064612517195,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv
0.0,0.0,0.0,0.0,,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv
0.1107438016528925,1.0,0.1107438016528925,0.1994047619047619,0.4749226682572268,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv
0.1661157024793388,1.0,0.1661157024793388,0.2849043231750531,0.4469772051536174,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv
0.934297520661157,0.5550660792951542,0.6847826086956522,0.6131386861313869,0.7509305740532048,realAWSCloudwatch/ec2_network_in_257a54.csv
0.8840732910500352,0.3516949152542373,0.8783068783068783,0.5022692889561271,0.6678689628494062,realAWSCloudwatch/ec2_network_in_5abac7.csv
0.0826446280991735,1.0,0.0826446280991735,0.1526717557251908,0.4867860360360361,realAWSCloudwatch/elb_request_count_8c0756.csv
0.9776415434547422,0.5974025974025974,1.0,0.7479674796747967,0.793859061900299,realAWSCloudwatch/grok_asg_anomaly.csv
0.0,0.0,0.0,0.0,,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv
0.8723140495867768,0.2775,0.8473282442748091,0.4180790960451978,0.6257685643564357,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv
0.905785123966942,0.59,0.4469696969696969,0.5086206896551724,0.7444369369369369,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv
0.0,0.0,0.0,0.0,,realAdExchange/exchange-2_cpc_results.csv
0.8441025641025641,0.4375,0.2464788732394366,0.3153153153153153,0.6199371508379888,realAdExchange/exchange-2_cpm_results.csv
0.0541711809317443,1.0,0.0541711809317443,0.1027749229188078,0.4175257731958763,realAdExchange/exchange-3_cpc_results.csv
0.1646803900325027,1.0,0.1646803900325027,0.2827906976744186,0.4020752269779507,realAdExchange/exchange-3_cpm_results.csv
0.8377281947261663,0.4907407407407407,0.3354430379746835,0.3984962406015038,0.6669988610478359,realAdExchange/exchange-4_cpc_results.csv
0.8275862068965517,0.5,0.3529411764705882,0.4137931034482758,0.6759719014626636,realAdExchange/exchange-4_cpm_results.csv
0.1660169685851868,1.0,0.1660169685851868,0.2847590953785644,0.4934011547979103,realKnownCause/ambient_temperature_system_failure.csv
0.8994459833795014,0.2730307076101468,1.0,0.4289459884635553,0.6365153538050734,realKnownCause/cpu_utilization_asg_misconfiguration.csv
0.8210743801652892,0.7230320699708455,0.4232081911262799,0.5339074273412272,0.7501512469627786,realKnownCause/ec2_request_latency_system_failure.csv
0.083131379892781,1.0,0.083131379892781,0.1535019323343955,0.4612334801762114,realKnownCause/machine_temperature_system_failure.csv
0.8675710594315246,0.233009708737864,0.8888888888888888,0.3692307692307692,0.6134905752643477,realKnownCause/nyc_taxi.csv
0.0929203539823008,1.0,0.0929203539823008,0.1700404858299595,0.3975609756097561,realKnownCause/rogue_agent_key_hold.csv
0.1655691439322671,1.0,0.1655691439322671,0.2841000807102502,0.4648628335212326,realKnownCause/rogue_agent_key_updown.csv
0.0746666666666666,1.0,0.0746666666666666,0.1389578163771712,0.3957132564841498,realTraffic/TravelTime_387.csv
0.0,0.0,0.0,0.0,,realTraffic/TravelTime_451.csv
0.1666666666666666,1.0,0.1666666666666666,0.2857142857142857,0.3936709978108891,realTraffic/occupancy_6005.csv
0.1653333333333333,1.0,0.1653333333333333,0.2837528604118993,0.301931425847676,realTraffic/occupancy_t4013.csv
0.1586666666666666,1.0,0.1586666666666666,0.2738780207134637,0.464230779475023,realTraffic/speed_6005.csv
0.1240768094534712,1.0,0.1240768094534712,0.2207621550591327,0.2849915682967959,realTraffic/speed_7578.csv
0.1656646626586506,1.0,0.1656646626586506,0.284240687679083,0.2523777086185077,realTraffic/speed_t4013.csv
0.936700901278558,0.2121212121212121,0.2234042553191489,0.2176165803108808,0.5549934066225342,realTweets/Twitter_volume_AAPL.csv
0.9386251184335194,0.3845177664974619,0.7556109725685786,0.5096719932716568,0.6713082880796613,realTweets/Twitter_volume_AMZN.csv
0.0555439111297421,1.0,0.0555439111297421,0.1052422557585385,0.4992248281117838,realTweets/Twitter_volume_CRM.csv
0.0832632464255677,1.0,0.0832632464255677,0.1537267080745341,0.5080934777824113,realTweets/Twitter_volume_CVS.csv
0.876,0.3151898734177215,0.2810383747178329,0.2971360381861574,0.5949268990975017,realTweets/Twitter_volume_FB.csv
0.9169997896065644,0.4532828282828283,0.5020979020979021,0.4764432647644326,0.6680635393410812,realTweets/Twitter_volume_GOOG.csv
0.1665268456375838,1.0,0.1665268456375838,0.2855088097806544,0.5691496458719714,realTweets/Twitter_volume_IBM.csv
0.8723583219430133,0.2182866556836902,0.5,0.3038990825688074,0.5944574357377739,realTweets/Twitter_volume_KO.csv
0.0416184971098265,1.0,0.0416184971098265,0.0799112097669256,0.4566290163395109,realTweets/Twitter_volume_PFE.csv
0.06638655462184874,1.0,0.06638655462184874,0.12450748620961387,0.4350810081008101,realTweets/Twitter_volume_UPS.csv
