f1,auc,precision,recall,accuracy,dataset,WL,n,id
0.03074141048824593,0.5120528877694739,0.017315135465471584,0.13687600644122386,0.8795397339086659,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,0
0.027571266801240703,0.4619711062480789,0.01399965000874978,0.9017713365539451,0.11223480762315714,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,1
0.02752903626207997,0.4780141211445561,0.013956624339813465,1.0,0.01397878460985257,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,2
0.027792733892264696,0.483576255556932,0.014121202647074147,0.8727858293075684,0.14781103919453434,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,3
0.02752903626207997,0.442287533662735,0.013956624339813465,1.0,0.01397878460985257,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,4
0.03219545610229478,0.5230137220088911,0.017326124354878347,0.2270531400966184,0.8094884933477167,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,0
0.03100360817853802,0.5080947465488529,0.016904692509472456,0.18679549114331725,0.8370415318230853,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,1
0.03100775193798449,0.5227755618866731,0.01595029443130709,0.5539452495974235,0.5168104998202085,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,2
0.03889789303079417,0.5498216551743121,0.021229544449358692,0.2318840579710145,0.8400755124056095,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,3
0.03058103975535168,0.5060569708814475,0.0162552067459108,0.2576489533011272,0.7720244516361021,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,4
0.028029728499924158,0.481229180916652,0.014283947563690329,0.7439613526570048,0.2765635583653195,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,5,0
0.029581631215664175,0.5073420312496485,0.016208706390861378,0.16908212560386476,0.8444569880334161,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,5,1
0.02768401820828044,0.4833321404185025,0.01411341247789846,0.7198067632850241,0.29105892978098896,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,5,2
0.030261519302615187,0.5198591925371543,0.01573936135760088,0.39130434782608703,0.6483630616391962,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,5,3
0.13211845102505695,0.6158900164238744,0.09212198221092756,0.2334943639291465,0.956988033416121,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,5,4
0.027419639703285058,0.4113629373033377,0.013900391717963069,1.0,0.013922463962754051,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,2,0
0.02832142706175762,0.5086663921598514,0.014542455287376282,0.5394524959742351,0.485473184707673,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,2,1
0.027419639703285058,0.47611459910216897,0.013900391717963069,1.0,0.013922463962754051,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,2,2
0.05144479706029731,0.5733138437149727,0.0286992172940738,0.2479871175523349,0.8728847703464948,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,2,3
0.029636436735397162,0.5145524981490893,0.015366289458010718,0.4154589371980677,0.6218327513653863,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,2,4
0.0276616275329688,0.4454906407248588,0.014030998718098124,0.9694041867954912,0.052690482585728365,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,3,0
0.02795425667090216,0.4964894014234512,0.014368074948202863,0.5136876006441223,0.5034246575342466,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,3,1
0.03343150521372283,0.534565104993374,0.017584994138335287,0.3381642512077295,0.7281985853702212,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,3,2
0.13181110534509602,0.6190379066132201,0.09724349157733538,0.20450885668276966,0.9625526009490554,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,3,3
0.027419639703285058,0.4459002809217215,0.013900391717963069,1.0,0.013922463962754051,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,3,4
0.0366246703779666,0.5437789042721795,0.020145044319097503,0.20128824476650564,0.8498630136986302,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,5,0
0.03400659521846661,0.525239109680822,0.01816580424969724,0.26570048309178745,0.7859817351598174,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,219,5,1
