f1,auc,precision,recall,accuracy,dataset,WL,n,id
0.4861751152073733,0.7301256944220582,0.4527896995708154,0.5248756218905473,0.8021295474711624,artificialWithAnomaly/art_daily_flatmiddle.csv,161,2,0
0.5131264916467779,0.7562833779267807,0.4931192660550458,0.5348258706467661,0.8189884649511979,artificialWithAnomaly/art_daily_flatmiddle.csv,161,2,1
0.5,0.7387374681667258,0.5050761421319797,0.4950248756218906,0.8234250221827861,artificialWithAnomaly/art_daily_flatmiddle.csv,161,2,2
0.508433734939759,0.7552551766007973,0.4929906542056075,0.5248756218905473,0.8189884649511979,artificialWithAnomaly/art_daily_flatmiddle.csv,161,2,3
0.5076923076923077,0.7521410227480309,0.5238095238095238,0.4925373134328358,0.8296362023070097,artificialWithAnomaly/art_daily_flatmiddle.csv,161,2,4
0.5017584994138335,0.7494167693152671,0.4745011086474501,0.5323383084577115,0.812610229276896,artificialWithAnomaly/art_daily_flatmiddle.csv,81,2,0
0.4988558352402746,0.7435098089402932,0.461864406779661,0.5422885572139303,0.8068783068783069,artificialWithAnomaly/art_daily_flatmiddle.csv,81,2,1
0.4911868390129259,0.7422067049532616,0.4654788418708241,0.5199004975124378,0.8090828924162258,artificialWithAnomaly/art_daily_flatmiddle.csv,81,2,2
0.5074626865671642,0.7492934576847808,0.4712153518123667,0.5497512437810945,0.8108465608465608,artificialWithAnomaly/art_daily_flatmiddle.csv,81,2,3
0.4895718990120746,0.7357325110780503,0.4381139489194499,0.554726368159204,0.7949735449735451,artificialWithAnomaly/art_daily_flatmiddle.csv,81,2,4
0.4684528954191875,0.7179250804799532,0.35894039735099337,0.6741293532338308,0.7187928669410151,artificialWithAnomaly/art_daily_flatmiddle.csv,81,3,0
0.508557457212714,0.756851596359937,0.5,0.5174129353233831,0.8161865569272977,artificialWithAnomaly/art_daily_flatmiddle.csv,81,3,1
0.5155875299760192,0.7555444068174533,0.4976851851851852,0.5348258706467661,0.8152720621856424,artificialWithAnomaly/art_daily_flatmiddle.csv,81,3,2
0.5206124852767963,0.7709115486990816,0.494407158836689,0.5497512437810945,0.8139003200731596,artificialWithAnomaly/art_daily_flatmiddle.csv,81,3,3
0.5161290322580645,0.7602596262385551,0.5148514851485149,0.5174129353233831,0.821673525377229,artificialWithAnomaly/art_daily_flatmiddle.csv,81,3,4
0.4656319290465632,0.7282149283975262,0.42,0.5223880597014925,0.7971380471380471,artificialWithAnomaly/art_daily_flatmiddle.csv,54,2,0
0.4669703872437358,0.7278003346993502,0.4306722689075631,0.5099502487562189,0.803030303030303,artificialWithAnomaly/art_daily_flatmiddle.csv,54,2,1
0.4808988764044944,0.7367235504342522,0.4385245901639344,0.5323383084577115,0.8055555555555556,artificialWithAnomaly/art_daily_flatmiddle.csv,54,2,2
0.4666666666666667,0.7306697263429559,0.4337606837606838,0.5049751243781094,0.8047138047138047,artificialWithAnomaly/art_daily_flatmiddle.csv,54,2,3
0.4651162790697674,0.7245125688679198,0.41916167664670656,0.5223880597014925,0.7967171717171717,artificialWithAnomaly/art_daily_flatmiddle.csv,54,2,4
0.5065398335315101,0.7523655836572763,0.4851936218678816,0.5298507462686567,0.8170194003527337,artificialWithAnomaly/art_daily_flatmiddle.csv,54,3,0
0.4671669793621013,0.7293363034772546,0.375,0.6194029850746269,0.7495590828924162,artificialWithAnomaly/art_daily_flatmiddle.csv,54,3,1
0.4915611814345992,0.7418314376669707,0.4267399267399267,0.5796019900497512,0.7874779541446209,artificialWithAnomaly/art_daily_flatmiddle.csv,54,3,2
0.4955555555555557,0.7398731156649763,0.44779116465863456,0.554726368159204,0.7998236331569665,artificialWithAnomaly/art_daily_flatmiddle.csv,54,3,3
0.506637168141593,0.7519469906629765,0.4561752988047809,0.5696517412935324,0.8033509700176367,artificialWithAnomaly/art_daily_flatmiddle.csv,54,3,4
0.5102286401925392,0.742862762410926,0.4941724941724942,0.527363184079602,0.8115740740740741,artificialWithAnomaly/art_daily_flatmiddle.csv,54,5,0
0.5052631578947369,0.75082069742301,0.4768211920529801,0.5373134328358209,0.8041666666666667,artificialWithAnomaly/art_daily_flatmiddle.csv,54,5,1
0.496998799519808,0.7386772055535745,0.4802784222737819,0.5149253731343284,0.8060185185185185,artificialWithAnomaly/art_daily_flatmiddle.csv,54,5,2
0.5,0.7406320219154512,0.4859154929577465,0.5149253731343284,0.8083333333333333,artificialWithAnomaly/art_daily_flatmiddle.csv,54,5,3
0.5125148986889153,0.7480310336825543,0.4919908466819222,0.5348258706467661,0.8106481481481481,artificialWithAnomaly/art_daily_flatmiddle.csv,54,5,4
0.30207156308851224,0.42921193170218025,0.1779849090102086,0.9975124378109452,0.17790594498669032,artificialWithAnomaly/art_daily_jumpsdown.csv,161,2,0
0.30282485875706217,0.4526288643177202,0.17842876165113186,1.0,0.17879325643300795,artificialWithAnomaly/art_daily_jumpsdown.csv,161,2,1
0.3029155622870125,0.4254698430095741,0.1786511835640911,0.9950248756218906,0.18322981366459629,artificialWithAnomaly/art_daily_jumpsdown.csv,161,2,2
0.30282485875706217,0.4589404489431889,0.17842876165113186,1.0,0.17879325643300795,artificialWithAnomaly/art_daily_jumpsdown.csv,161,2,3
0.3034430571320469,0.4253744775044862,0.17893797411869702,0.9975124378109452,0.18322981366459629,artificialWithAnomaly/art_daily_jumpsdown.csv,161,2,4
0.29006526468455396,0.42953545343192856,0.1697792869269949,0.9950248756218906,0.17592592592592593,artificialWithAnomaly/art_daily_jumpsdown.csv,54,2,0
