Accuracy,Recall,Precision,Fscore,AUC,dataset,WL
0.8575052854122621,0.1800847457627118,0.2284946236559139,0.2014218009478673,0.5504003928796044,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,8
0.7596726190476191,0.3606965174129353,0.1691948658109685,0.2303415409054805,0.5797921549278401,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,6
0.7624007936507936,0.36318407960199,0.1721698113207547,0.2335999999999999,0.5744051779669148,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,8
0.7824900793650794,0.3432835820895522,0.1837549933422103,0.2393755420641804,0.5827275468388087,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,5
0.1426091269841269,0.9751243781094528,0.1021099244594946,0.1848620608347087,0.4696873757932103,realAWSCloudwatch/ec2_network_in_257a54.csv,3
0.1860119047619047,0.9253731343283582,0.1026490066225165,0.1847988077496274,0.4268865726464098,realAWSCloudwatch/ec2_network_in_257a54.csv,13
0.7475687103594081,0.3983050847457627,0.1712204007285974,0.2394904458598726,0.5924498551082311,realAWSCloudwatch/ec2_network_in_5abac7.csv,3
0.1319238900634249,0.9830508474576272,0.1017097764138535,0.1843464441795788,0.4312687085525949,realAWSCloudwatch/ec2_network_in_5abac7.csv,11
0.3303571428571428,0.7725,0.1058944482522275,0.18625678119349,0.5339038408590309,realAWSCloudwatch/elb_request_count_8c0756.csv,3
0.0992063492063492,1.0,0.0992063492063492,0.1805054151624548,0.2321751101321585,realAWSCloudwatch/elb_request_count_8c0756.csv,161
0.3553343432157542,0.8831168831168831,0.1224122412241224,0.2150197628458498,0.5720910891625005,realAWSCloudwatch/grok_asg_anomaly.csv,4
0.8573901752867344,0.2207792207792207,0.2543640897755611,0.2363847045191193,0.5309702319800902,realAWSCloudwatch/grok_asg_anomaly.csv,46
0.8969919930750919,0.132034632034632,0.4485294117647059,0.2040133779264214,0.4658800764835869,realAWSCloudwatch/grok_asg_anomaly.csv,31
0.7827835880933226,0.5,0.2296296296296296,0.3147208121827411,0.5599037158753495,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,49
0.1263073209975865,1.0,0.1024793388429752,0.1859070464767616,0.3777350168641356,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,25
0.1013676588897827,1.0,0.0999194198227236,0.1816849816849816,0.3592205021764825,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,12
0.1116071428571428,0.9975,0.100251256281407,0.1821917808219178,0.4020584388766519,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,13
0.0999503968253968,1.0,0.0992802184164805,0.1806276811921427,0.4735713794052864,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,5
0.2105654761904762,0.8975,0.1025421308197657,0.1840553704178415,0.4989454845814978,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,3
0.6321924603174603,0.65,0.1621958827199001,0.2596105841238142,0.6534867153083701,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,13
0.1354679802955665,1.0,0.1034482758620689,0.1875,0.3712126969650909,realAdExchange/exchange-2_cpc_results.csv,21
0.1385467980295566,1.0,0.1037796284433055,0.1880441091120139,0.330289135464694,realAdExchange/exchange-2_cpc_results.csv,32
0.8084975369458128,0.2407407407407407,0.171806167400881,0.2005141388174807,0.4121953691037139,realAdExchange/exchange-2_cpc_results.csv,13
0.7869458128078818,0.75,0.2816901408450704,0.409556313993174,0.793077612704918,realAdExchange/exchange-2_cpm_results.csv,21
0.9224137931034484,0.775,0.5794392523364486,0.6631016042780749,0.9079789959016392,realAdExchange/exchange-2_cpm_results.csv,32
0.8842364532019704,0.36875,0.4041095890410959,0.3856209150326797,0.747970030737705,realAdExchange/exchange-2_cpm_results.csv,13
0.783485045513654,0.24,0.1411764705882353,0.1777777777777777,0.4163352545629203,realAdExchange/exchange-3_cpc_results.csv,12
0.0975292587776332,1.0,0.0975292587776332,0.1777251184834123,0.2416522574447646,realAdExchange/exchange-3_cpc_results.csv,61
0.2100130039011703,0.92,0.1029082774049217,0.1851106639839034,0.3833117195004803,realAdExchange/exchange-3_cpc_results.csv,20
0.5500650195058517,0.625,0.1301369863013698,0.2154195011337868,0.4899061099718995,realAdExchange/exchange-3_cpm_results.csv,12
0.4154746423927178,0.881578947368421,0.1320197044334975,0.2296486718080548,0.5825311384521912,realAdExchange/exchange-3_cpm_results.csv,20
0.741222366710013,0.7960526315789473,0.2479508196721311,0.378125,0.6919690324295588,realAdExchange/exchange-3_cpm_results.csv,61
0.6074254412659769,0.4506172839506173,0.1160572337042925,0.1845764854614412,0.5017151407540784,realAdExchange/exchange-4_cpc_results.csv,6
0.8685331710286062,0.5432098765432098,0.3826086956521739,0.4489795918367347,0.6912517401488817,realAdExchange/exchange-4_cpc_results.csv,22
0.805234327449787,0.228395061728395,0.1594827586206896,0.1878172588832487,0.3568326372737807,realAdExchange/exchange-4_cpc_results.csv,65
0.8600121728545344,0.425,0.3300970873786408,0.3715846994535519,0.6279648516520566,realAdExchange/exchange-4_cpm_results.csv,22
0.7425441265976872,0.65625,0.2219873150105708,0.3317535545023696,0.6763612609575186,realAdExchange/exchange-4_cpm_results.csv,13
0.8253195374315276,0.275,0.2046511627906976,0.2346666666666666,0.5738705327039784,realAdExchange/exchange-4_cpm_results.csv,6
0.1713224164029173,0.9834254143646408,0.105920856887831,0.1912436207359656,0.3577728043043765,realKnownCause/ambient_temperature_system_failure.csv,145
0.6899683500756846,0.4820441988950276,0.1567130669061517,0.2365299898339546,0.5383203381286399,realKnownCause/ambient_temperature_system_failure.csv,24
0.7769368377597358,0.2914364640883978,0.1599696739954511,0.2065589818893783,0.4519005381315107,realKnownCause/ambient_temperature_system_failure.csv,97
0.9429916897506924,0.5660881174899867,0.6911165444172779,0.6223853211009174,0.7982277481623637,realKnownCause/cpu_utilization_asg_misconfiguration.csv,12
0.9820498614958448,0.7837116154873164,1.0,0.8787425149700598,0.934117045701664,realKnownCause/cpu_utilization_asg_misconfiguration.csv,241
0.9996675900277008,1.0,0.9960106382978724,0.9980013324450364,0.9999739260854332,realKnownCause/cpu_utilization_asg_misconfiguration.csv,722
0.6217757936507936,0.4693877551020408,0.1070478723404255,0.1743367623172712,0.5396565472798731,realKnownCause/ec2_request_latency_system_failure.csv,3
0.8432539682539683,0.6443148688046647,0.3023255813953488,0.4115456238361266,0.7660683760008282,realKnownCause/ec2_request_latency_system_failure.csv,161
0.8423000660938532,0.25,0.2313036371066612,0.2402886860539163,0.3360039038577316,realKnownCause/machine_temperature_system_failure.csv,907
0.3276933245208195,0.8546819787985865,0.1147414611005692,0.2023212045169385,0.4930531282314877,realKnownCause/machine_temperature_system_failure.csv,454
0.0997576558713373,1.0,0.0997576558713373,0.1814175247405745,0.3554910668036672,realKnownCause/machine_temperature_system_failure.csv,130
0.0998937300743889,1.0,0.0998937300743889,0.1816425120772947,0.3620993368333794,realKnownCause/rogue_agent_key_hold.csv,15
0.0998937300743889,1.0,0.0998937300743889,0.1816425120772947,0.4005155869275791,realKnownCause/rogue_agent_key_hold.csv,25
0.0998937300743889,1.0,0.0998937300743889,0.1816425120772947,0.3530294656987114,realKnownCause/rogue_agent_key_hold.csv,9
0.3983066792097836,0.9393939393939394,0.1354451119606772,0.2367541766109785,0.3824410413936736,realKnownCause/rogue_agent_key_updown.csv,212
0.4056444026340545,0.7613636363636364,0.1170305676855895,0.2028766086298258,0.5020591200283596,realKnownCause/rogue_agent_key_updown.csv,71
0.0993414863593603,1.0,0.0993414863593603,0.1807290775286668,0.4613619746662363,realKnownCause/rogue_agent_key_updown.csv,42
0.1273109243697479,1.0,0.1028077753779697,0.1864473168820994,0.3707443761818453,realTraffic/occupancy_6005.csv,95
0.3836134453781513,0.7352941176470589,0.1108296390120329,0.1926252063841497,0.3841968159812945,realTraffic/occupancy_6005.csv,48
0.4105042016806722,0.7647058823529411,0.119032047089601,0.2059988681380871,0.4415481879026119,realTraffic/occupancy_6005.csv,32
0.1068,1.0,0.0999596936719064,0.1817515573470135,0.2681585902137168,realTraffic/occupancy_t4013.csv,100
0.1752,0.9233870967741936,0.1007922535211267,0.1817460317460317,0.4472440268148742,realTraffic/occupancy_t4013.csv,7
0.2152,0.8991935483870968,0.10324074074074074,0.18521594684385384,0.464974682003094,realTraffic/occupancy_t4013.csv,3
