f1,auc,precision,recall,accuracy,dataset,WL,n,id
0.5,0.8599093531108364,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,0
0.5,0.7865677791512155,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,1
0.5,0.8281829419035847,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,2
0.5,0.8496085702513392,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,3
0.5,0.8545529460238979,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,4
0.5,0.8299145299145299,1.0,0.3333333333333333,0.9974457215836526,A1Benchmark/real_13.csv,29,3,0
0.5,0.8423076923076923,1.0,0.3333333333333333,0.9974457215836526,A1Benchmark/real_13.csv,29,3,1
0.5,0.8384615384615385,1.0,0.3333333333333333,0.9974457215836526,A1Benchmark/real_13.csv,29,3,2
0.8,0.8880341880341881,1.0,0.6666666666666666,0.9987228607918264,A1Benchmark/real_13.csv,29,3,3
0.5,0.7726495726495726,1.0,0.3333333333333333,0.9974457215836526,A1Benchmark/real_13.csv,29,3,4
0.6666666666666665,0.9205158264947244,0.75,0.6,0.9965034965034965,A1Benchmark/real_13.csv,11,2,0
0.6666666666666665,0.928253223915592,0.75,0.6,0.9965034965034965,A1Benchmark/real_13.csv,11,2,1
0.7499999999999999,0.9177022274325908,1.0,0.6,0.9976689976689976,A1Benchmark/real_13.csv,11,2,2
0.6666666666666665,0.9247362250879252,0.75,0.6,0.9965034965034965,A1Benchmark/real_13.csv,11,2,3
0.5714285714285715,0.921219226260258,1.0,0.4,0.9965034965034965,A1Benchmark/real_13.csv,11,2,4
0.8000000000000002,0.9514654161781946,0.8,0.8,0.9976689976689976,A1Benchmark/real_13.csv,11,3,0
0.5714285714285715,0.9130128956623682,1.0,0.4,0.9965034965034965,A1Benchmark/real_13.csv,11,3,1
0.7499999999999999,0.9383352872215708,1.0,0.6,0.9976689976689976,A1Benchmark/real_13.csv,11,3,2
0.7499999999999999,0.95052754982415,1.0,0.6,0.9976689976689976,A1Benchmark/real_13.csv,11,3,3
0.5714285714285715,0.9005861664712779,1.0,0.4,0.9965034965034965,A1Benchmark/real_13.csv,11,3,4
0.5,0.8329278183292781,1.0,0.3333333333333333,0.9975757575757576,A1Benchmark/real_13.csv,11,5,0
0.8,0.8868613138686131,1.0,0.6666666666666666,0.9987878787878788,A1Benchmark/real_13.csv,11,5,1
0.8,0.9063260340632604,1.0,0.6666666666666666,0.9987878787878788,A1Benchmark/real_13.csv,11,5,2
0.5,0.843471208434712,1.0,0.3333333333333333,0.9975757575757576,A1Benchmark/real_13.csv,11,5,3
0.5,0.8560421735604218,1.0,0.3333333333333333,0.9975757575757576,A1Benchmark/real_13.csv,11,5,4
0.5,0.8379351740696278,1.0,0.3333333333333333,0.9976076555023924,A1Benchmark/real_13.csv,19,2,0
0.8,0.8843537414965987,1.0,0.6666666666666666,0.998803827751196,A1Benchmark/real_13.csv,19,2,1
0.8,0.9191676670668268,1.0,0.6666666666666666,0.9988038277511959,A1Benchmark/real_13.csv,19,2,2
0.5,0.8515406162464986,1.0,0.3333333333333333,0.9976076555023924,A1Benchmark/real_13.csv,19,2,3
0.8,0.8987595038015206,1.0,0.6666666666666666,0.9988038277511959,A1Benchmark/real_13.csv,19,2,4
0.8,0.9225352112676056,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_13.csv,19,3,0
0.8,0.9776995305164321,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_13.csv,19,3,1
0.8,0.9835680751173708,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_13.csv,19,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_13.csv,19,3,3
