Accuracy,Recall,Precision,Fscore,AUC,dataset,WL,n,id
0.9961428571428572,0.4,1.0,0.5714285714285715,0.8195862289320235,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,0
0.9955714285714286,0.3333333333333333,0.9375,0.4918032786885246,0.8752232606438214,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,1
0.9962857142857144,0.4222222222222222,1.0,0.59375,0.8995063503474718,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,2
0.9962857142857144,0.4222222222222222,1.0,0.59375,0.8544037063663231,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,3
0.9964285714285714,0.4444444444444444,1.0,0.6153846153846153,0.8397763399632557,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,4
0.9985714285714286,0.7826086956521741,1.0,0.878048780487805,0.97022358104813,UCR_Anomaly_FullData/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,250,5,0
0.9981428571428572,0.7173913043478259,1.0,0.8354430379746834,0.9707393930299734,UCR_Anomaly_FullData/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,250,5,1
0.997,0.7391304347826086,0.7906976744186046,0.7640449438202247,0.9660314363956934,UCR_Anomaly_FullData/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,250,5,2
0.9988571428571428,0.8260869565217391,1.0,0.9047619047619048,0.9632804391591951,UCR_Anomaly_FullData/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,250,5,3
0.9984285714285714,0.7608695652173914,1.0,0.8641975308641976,0.9692044616173364,UCR_Anomaly_FullData/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,250,5,4
0.8179674304471143,0.3548387096774194,0.001928809398562161,0.0038367631670735963,0.5416366532618226,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,2,0
0.8444182414990917,0.3870967741935484,0.0024615384615384608,0.004891969017529554,0.5721412489143722,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,2,1
0.8521304056853309,0.3548387096774194,0.0023752969121140144,0.004719004719004718,0.5769900430958192,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,2,2
0.6702253099206475,0.41935483870967744,0.0012568887170066713,0.0025062656641604004,0.4969561262332937,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,2,3
0.7628987539437203,0.3870967741935484,0.0016144221713978205,0.0032154340836012857,0.5011391373427125,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,2,4
0.242327671372574,1.0,0.0013021927245232296,0.0026009984477912487,0.4591942892894335,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,3,0
0.38844450109946144,1.0,0.001612819312210603,0.003220444629129441,0.5565112967025729,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,3,1
0.35600242200197585,1.0,0.0015316962300508919,0.003058707449432659,0.518886320884802,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,3,2
0.1320947130246343,1.0,0.0011369888134971575,0.002271395076201641,0.3878983893606425,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,3,3
0.26616526976640426,0.9032258064516128,0.0012146451500954366,0.0024260278126759954,0.4391585407516866,UCR_Anomaly_FullData/202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,1041,3,4
